sex,age,ihd,stroke,diabetes,cancerBreast,cancerColorectum,cancerLung,cancerStomach,cancerLiver,cancerKidney,cancerPancreas,cirrhosis
male,0,0,0.0000561,0,0,0,0,0,0,0,0,0.0000551
male,1,0,0.0000561,0,0,0,0,0,0,0,0,0.00019768
male,2,0,0.0000561,0,0,0,0,0,0,0,0,0.0003303
male,3,0,0.0000561,0,0,0,0,0,0,0,0,0.000445612
male,4,0,0.0000561,0,0,0,0,0,0,0,0,0.000546712
male,5,0,0.0000561,0.0001,0,0,0,0,0,0,0,0.000639305
male,6,0,0.0000561,0.0001,0,0,0,0,0,0,0,0.000729099
male,7,0,0.0000561,0.0001,0,0,0,0,0,0,0,0.0008218
male,8,0,0.0000561,0.0001,0,0,0,0,0,0,0,0.000921814
male,9,0,0.0000561,0.0001,0,0,0,0,0,0,0,0.001028346
male,10,0,0.0000561,0.0002,0,0,0,3.17E-05,0,0,0,0.001139301
male,11,0,0.0000561,0.0002,0,0,0,5.93E-05,0,0,0,0.001252584
male,12,0,0.0000561,0.0002,0,0,0,0.0001,0,0,0,0.0013661
male,13,0,0.0000561,0.0002,0,0,0,0.000155086,0,0,0,0.001478188
male,14,0,0.0000561,0.0002,0,0,0,0.000219369,0,0,0,0.001588927
male,15,0,0.0000561,0.000363819,0,0,0,0.000286109,0,0,0,0.001698833
male,16,0,0.0000561,0.000499025,0,0,0,0.000348566,0,0,0,0.001808419
male,17,0,0.0000561,0.0007,0,0,0,0.0004,0,0,0,0.0019182
male,18,0,0.0000561,0.000982614,0,0,0,0.000435624,0,0,0,0.00202857
male,19,0,0.0000561,0.001365099,0,0,0,0.00045846,0,0,0,0.002139442
male,20,0,0.0000561,0.001866276,0,0,0,0.000473485,0,0,0,0.002250609
male,21,0,0.0000561,0.00250497,0,0,0,0.000485673,0,0,0,0.002361864
male,22,0,0.0000561,0.0033,0,0,0,0.0005,0,0,0,0.002473
male,23,0,0.0000561,0.004267158,0,0,0,0.000520019,0,0,0,0.00258374
male,24,0,0.0000561,0.005410106,0,0,0,0.00054359,0,0,0,0.002693528
male,25,0,0.0000561,0.006729475,0,0,0,0.000567152,0,0,0,0.002801735
male,26,0,0.0000561,0.008225896,0,0,0,0.000587143,0,0,0,0.002907735
male,27,0,0.0000561,0.0099,0,0,0,0.0006,0,0,0,0.0030109
male,28,2.56E-05,0.000107443,0.011752755,0,0,0,0.000603501,0,0,0,0.003110615
male,29,6.64E-05,0.00018117,0.013786477,0,0,0,0.000600779,0,0,0,0.003206305
male,30,0.000124299,0.000280876,0.016003823,0,0,5.35E-05,0.000596306,0,0,0,0.003297408
male,31,0.000201478,0.000410154,0.018407446,0,0.000342754,7.69E-05,0.000594556,0,0,0,0.00338336
male,32,0.0003,0.0005726,0.021,0,0.0004,0.0001,0.0006,0,0,0,0.0034636
male,33,0.000422062,0.000770959,0.023785024,0,0.000468369,0.00012148,0.000616378,0,0,0,0.003537605
male,34,0.00057032,0.001004589,0.026769584,0,0.000545598,0.000141564,0.000644495,0,0,0,0.003605021
male,35,0.000747548,0.001271999,0.029961634,0,0.000628642,0.000160908,0.000684422,0,9.13E-05,0,0.003665534
male,36,0.000956517,0.001571699,0.033369122,0,0.000714457,0.000180168,0.000736234,0,0.00014108,0,0.003718832
male,37,0.0012,0.0019022,0.037,0,0.0008,0.0002,0.0008,0,0.0002,0,0.0037646
male,38,0.001481312,0.00226223,0.040859951,0,0.00088369,0.000221615,0.000874988,0,0.000267525,0,0.003802654
male,39,0.001805939,0.002651398,0.044945585,0,0.000969799,0.00024844,0.000957243,0,0.000342546,0,0.003833318
male,40,0.00217991,0.00306953,0.049251243,0,0.001064063,0.000284458,0.001042004,6.42E-05,0.000423805,0,0.003857046
