sex,age,ihd,stroke,diabetes,cancerBreast,cancerColorectum,cancerLung,cancerStomach,cancerLiver,cancerKidney,cancerPancreas,cirrhosis
male,0,0,0.000217303,0.0002,0,0,0,0,0,0,0,0.00059
male,1,0,0.000217303,0.0002,0,0,0,0,0,0,0,0.000568707
male,2,0,0.000217303,0.0002,0,0,0,0,0,0,0,0.0005443
male,3,0,0.000217303,0.0002,0,0,0,0,0,0,0,0.000514486
male,4,0,0.000217303,0.0002,0,0,0,0,0,0,0,0.000480258
male,5,0,0.000217303,0.0002,0,0,0,5.84E-05,0.000938001,0,0,0.000443425
male,6,0,0.000217303,0.0002,0,0,0,0.000148763,0.002313501,0,0,0.000405802
male,7,0,0.000217303,0.0002,0,0,0,0.0003,0.0046,0,0,0.0003692
male,8,0,0.000217303,0.0002,0,0,0,0.000520862,0.007917499,0,0,0.00033524
male,9,0,0.000217303,0.0002,0,0,0,0.000794525,0.011954997,0,0,0.000304776
male,10,0,0.000217303,0.0002,0,0,0,0.001097756,0.016293746,0,0,0.000278473
male,11,0,0.000217303,0.0002,0,0,0,0.001407325,0.020514997,0,0,0.000256993
male,12,0,0.000217303,0.0002,0,0,0,0.0017,0.0242,0,0,0.000241
male,13,0,0.000217303,0.0002,0,0,0,0.001955775,0.027038605,0,0,0.000231119
male,14,0,0.000217303,0.0002,0,0,0,0.002167544,0.029155061,0,0,0.000227818
male,15,0,0.000217303,0.000397773,0,0,0,0.002331425,0.030782213,0,0,0.000231527
male,16,0,0.000217303,0.000494435,0,0,0,0.002443538,0.032152911,0,0,0.000242678
male,17,0,0.000217303,0.0006,0,0,0,0.0025,0.0335,0,0,0.0002617
male,18,0,0.000217303,0.000710385,0,0,0,0.002501637,0.035100081,0,0,0.000290917
male,19,0,0.000217303,0.000820686,0,0,0,0.002468099,0.037404761,0,0,0.000340225
male,20,0,0.000217303,0.000925795,0,0,0,0.002423742,0.0409094,0,0,0.000421415
male,21,0,0.000217303,0.001020602,0,0,0,0.002392924,0.04610936,0,0,0.000546276
male,22,0,0.000217303,0.0011,0,0,0,0.0024,0.0535,0,0,0.0007266
male,23,0,0.000217303,0.001160583,0,0,0,0.002468077,0.063356272,0,0,0.000977938
male,24,0,0.00055475,0.001205762,0,0,0,0.002615261,0.075071497,0,0,0.001330887
male,25,0,0.001021445,0.001240649,0,0,0,0.002858406,0.087818585,0,0,0.001819807
male,26,0,0.001626493,0.001270357,0,0,0,0.003214368,0.100770449,0,0,0.002479059
male,27,0,0.002379,0.0013,0,0,0,0.0037,0.1131,0,0,0.003343
male,28,8.91E-05,0.003282125,0.001332881,0,0,0,0.004319653,0.124102831,0,0,0.004435649
