sex,age,ihd,stroke,diabetes,cancerBreast,cancerColorectum,cancerLung,cancerStomach,cancerLiver,cancerKidney,cancerPancreas,cirrhosis
male,0,0,1.54E-06,0,0,0,0,0,0,0,0,0.0001103
male,1,0,1.54E-06,0,0,0,0,0,0,0,0,0.000110165
male,2,0,1.54E-06,0,0,0,0,0,0,0,0,0.00011
male,3,0,1.54E-06,0,0,0,0,0,0,0,0,0.000109785
male,4,0,1.54E-06,0,0,0,0,0,0,0,0,0.000109544
male,5,0,1.54E-06,0,0,0,0,0,0,0,0,0.00010931
male,6,0,1.54E-06,0,0,0,0,0,0,0,0,0.000109118
male,7,0,1.54E-06,0,0,0,0,0,0,0,0,0.000109
male,8,0,1.54E-06,0,0,0,0,0,0,0,0,0.000108984
male,9,0,1.54E-06,0,0,0,0,0,0,0,0,0.000109065
male,10,0,1.54E-06,0,0,0,0,0,0,0,0,0.000109236
male,11,0,1.54E-06,0,0,0,0,0,0,0,0,0.000109484
male,12,0,1.54E-06,0,0,0,0,0,0,0,0,0.0001098
male,13,0,1.54E-06,0,0,0,0,0,0,0,0,0.00011017
male,14,0,1.54E-06,0,0,0,0,0,0,0,0,0.000110567
male,15,0,1.54E-06,6.90E-05,0,0,0,0,0,0,0,0.000110958
male,16,0,1.54E-06,0.000123144,0,0,0,0,0,0,0,0.000111313
male,17,0,1.54E-06,0.0002,0,0,0,0,0,0,0,0.0001116
male,18,0,1.54E-06,0.000302413,0,0,0,0,0,0,0,0.000111798
male,19,0,1.54E-06,0.000427696,0,0,0,0,0,0,0,0.000111927
male,20,0,1.54E-06,0.000571772,0,0,0,0,0,0,0,0.000112017
male,21,0,1.54E-06,0.000730565,0,0,0,0,0,0,0,0.000112098
male,22,0,1.54E-06,0.0009,0,0,0,0,0,0,0,0.0001122
male,23,0,1.54E-06,0.001076287,0,0,0,0,0,0,0,0.00011234
male,24,0,4.93E-06,0.001256784,0,0,0,0,0,0,0,0.000112481
male,25,0,1.13E-05,0.001439138,0,0,0,0,0,0,0,0.000112572
male,26,0,2.18E-05,0.001620995,0,0,0,0,0,0,0,0.000112562
male,27,0,0.0000375,0.0018,0,0,0,0,0,0,0,0.0001124
male,28,9.90E-06,5.93E-05,0.001974841,0,0,0,0,0,0,0,0.000112079
male,29,2.49E-05,8.62E-05,0.002148369,0,0,0,0,0,0,0,0.000111767
male,30,4.49E-05,0.000117306,0.002324476,0,6.36E-05,0,0,0,0,0,0.000111675
male,31,6.99E-05,0.00015128,0.002507056,0,8.50E-05,0,0,0,0,0,0.000112016
male,32,0.0001,0.000187,0.0027,0,0.0001,0,0,0,0,0,0.000113
male,33,0.000134855,0.000223463,0.00290595,0,0.000105931,0,0,0,0,0,0.000114751
male,34,0.000173492,0.000260303,0.003122542,0,0.000105224,0,0,0,0,0,0.000117037
male,35,0.000214701,0.000297311,0.003346158,0,0.00010155,5.43E-05,6.09E-05,0,6.48E-05,0,0.000119537
male,36,0.000257273,0.000334279,0.003573183,0,9.86E-05,7.75E-05,8.31E-05,0,8.60E-05,0,0.000121932
male,37,0.0003,0.000371,0.0038,0,0.0001,0.0001,0.0001,0,0.0001,0,0.0001239
male,38,0.000342683,0.000407302,0.004023757,0,0.000108658,0.000120289,0.000108915,0,0.000104195,0,0.000125376
male,39,0.000389167,0.000443162,0.004244663,0,0.000124179,0.000139146,0.000111114,0,0.0001017,0,0.000127315
male,40,0.000444311,0.00047859,0.004463691,0,0.000145371,0.000157858,0.000108856,0,9.71E-05,0,0.000130926
male,41,0.000512969,0.000513599,0.004681812,0,0.000171042,0.000177714,0.000104399,0,9.50E-05,0,0.000137418
male,42,0.0006,0.0005482,0.0049,0,0.0002,0.0002,0.0001,0,0.0001,0,0.000148
male,43,0.000708814,0.000582535,0.00511902,0,0.000231435,0.000226061,9.75E-05,0,0.000115136,0,0.000163662
male,44,0.000837038,0.000617258,0.005338804,0,0.00026606,0.000257465,9.67E-05,0,0.000137329,0,0.000184513
male,45,0.000980856,0.000653153,0.005559079,0,0.000304966,0.000295839,9.72E-05,0,0.000161954,0,0.000210444
male,46,0.001136449,0.000691006,0.005779569,0,0.000349249,0.000342809,9.85E-05,0,0.000184386,0,0.000241343
male,47,0.0013,0.0007316,0.006,0,0.0004,0.0004,0.0001,0,0.0002,0,0.0002771
male,48,0.001467663,0.000775902,0.006219364,0,0.000458401,0.000468269,0.000101267,0,0.000205659,0,0.000317223
male,49,0.00163548,0.000825611,0.00643372,0,0.000525982,0.000545395,0.00010207,0,0.000204182,0,0.000359689
male,50,0.001799466,0.000882609,0.006638393,0,0.000604364,0.000628386,0.00010224,6.38E-05,0.000199876,5.32E-05,0.000402094
male,51,0.001955634,0.000948778,0.006828712,0,0.000695163,0.000714251,0.000101607,8.52E-05,0.000197046,7.67E-05,0.000442032
male,52,0.0021,0.001026,0.007,0,0.0008,0.0008,0.0001,0.0001,0.0002,0.0001,0.0004771
