sex,age,count
male,0,340320
male,1,350346
male,2,362052
male,3,355576
male,4,349446
male,5,344782
male,6,348126
male,7,337168
male,8,329581
male,9,315492
male,10,309958
male,11,301489
male,12,295822
male,13,302505
male,14,311723
male,15,321455
male,16,325470
male,17,335161
male,18,338364
male,19,338315
male,20,352883
male,21,355638
male,22,366843
male,23,382818
male,24,379178
male,25,372533
male,26,375527
male,27,364438
male,28,373158
male,29,375543
male,30,365510
male,31,368257
male,32,367344
male,33,371034
male,34,372166
male,35,357950
male,36,334445
male,37,329184
male,38,333472
male,39,339722
male,40,344557
male,41,359920
male,42,374547
male,43,384124
male,44,375282
male,45,383512
male,46,383207
male,47,390157
male,48,388201
male,49,390142
male,50,386767
male,51,378799
male,52,371507
male,53,358737
male,54,344032
male,55,336043
male,56,328446
male,57,315355
male,58,304272
male,59,292029
male,60,291647
male,61,288624
male,62,279117
male,63,281118
male,64,285582
male,65,293538
male,66,309438
male,67,336442
male,68,258038
male,69,249134
male,70,247463
male,71,227696
male,72,200983
male,73,178977
male,74,185462
male,75,182353
male,76,176060
male,77,164604
male,78,153716
male,79,143630
male,80,129885
male,81,120382
male,82,113848
male,83,103881
male,84,92584
male,85,80265
male,86,68957
male,87,60457
male,88,51172
male,89,42148
male,90,35030
male,91,28280
male,92,22690
male,93,17590
male,94,12070
male,95,7100
male,96,4330
male,97,3070
male,98,2150
male,99,1380
male,100,1900
female,0,323863
female,1,332357
female,2,344972
female,3,338531
female,4,333494
female,5,329174
female,6,331519
female,7,320616
female,8,314696
female,9,301211
female,10,295987
female,11,286854
female,12,281989
female,13,290211
female,14,296517
female,15,305724
female,16,309406
female,17,318108
female,18,317389
female,19,321562
female,20,335706
female,21,340725
female,22,358814
female,23,368725
female,24,365087
female,25,367148
female,26,374719
female,27,370547
female,28,371259
female,29,373510
female,30,367575
female,31,371867
female,32,372644
female,33,375263
female,34,375549
female,35,359272
female,36,334422
female,37,329073
female,38,335935
female,39,342529
female,40,349278
female,41,363609
female,42,379033
female,43,393520
female,44,383534
female,45,393188
female,46,392645
female,47,396892
female,48,399344
female,49,401075
female,50,396708
female,51,387863
female,52,378286
female,53,364670
female,54,349919
female,55,341969
female,56,334422
female,57,322495
female,58,310909
female,59,300641
female,60,302566
female,61,298300
female,62,291561
female,63,293852
female,64,301564
female,65,308405
female,66,326313
female,67,353767
female,68,273947
female,69,266439
female,70,265287
female,71,248071
female,72,222594
female,73,201374
female,74,209505
female,75,208461
female,76,202596
female,77,193210
female,78,184600
female,79,175728
female,80,163433
female,81,156189
female,82,152268
female,83,145592
female,84,136299
female,85,122635
female,86,110192
female,87,99623
female,88,90173
female,89,79489
female,90,70200
female,91,61120
female,92,52880
female,93,44660
female,94,33460
female,95,21500
female,96,14480
female,97,11210
female,98,8600
female,99,6160
female,100,10570
