disease,utilityDec.inc.m,utilityDec.inc.se,utilityDec.prev.m,utilityDec.prev.se
ihd,-0.0625727,0.0131711,-0.0367975,0.0257359
stroke,-0.1170501,0.0121435,-0.0731964,0.0243687
diabetes,-0.0714349,0.0048447,-0.0714349,0.0048447
cancerBreast,-0.0194279,0.0144025,-0.0194279,0.0144025
cancerColorectum,-0.0673908,0.017187,-0.0673908,0.017187
cancerLung,-0.1192427,0.0430051,-0.1192427,0.0430051
cancerStomach,-0.0705565,0.105495,-0.0705565,0.105495
cancerLiver,-0.0929452,0.0437578,-0.0929452,0.0437578
cancerKidney,-0.0479982,0.0413999,-0.0479982,0.0413999
cancerPancreas,-0.0858906,0.0270067,-0.0858906,0.0270067
cirrhosis,-0.0831554,0.0312639,-0.0831554,0.0312639
